NOMBREs PARTICIPANTE,ID. Participante,CODIGO ficha,TÍTULO de la iniciativa,ENTIDAD promotora,PERSONAS de contacto (Datos),Año DESDE,AÑO HASTA,¿IMPLEMENTADA? (SI o NO),ORIGEN (EM o INST),PROVINCIA IMPULSORA,PROVINCIAS APLICACIÓN,T.I: 1-SERVICIOS,T.I. 2-PROCESOS,T.I. 3-GESTION PERSONAS,T.I. 4-PARTICIPACIÓN,T.I. 5-ORGANIZATIVA,T.I. 6-CAMBIO CULTURAL,T.I. 7-TECNOLÓGICA,T.I. 8-TRANSPARENCIA,T.I. 9-COLABORACIÓN,T.I. 10-GEST.CON,T.I. 11-BIENESTAR,T.I. 12-IGUALDAD GEN,T.I. 13-SENSIB.CUIDAD.,T.I. 14-NORMATIVO,A.A. 1-TURISMO,A.A. 2-JUSTICIA,A.A. 3-ADMON PUB.,A.A. 4-INTERIOR,A.A. 5-EMPLEO,A.A. 6-HACIENDA,A.A. 7-IND.ENERG,A.A. 8-EDUCACIÓN,A.A. 9-DEPORTE,A.A. 10-AGRIC-GAN-PESC,A.A. 11-M.AMBIENTE,A.A. 12-ECON.EMP.,A.A. 13-CON-UNIV,A.A. 14-SALUD,A.A. 15-POLIT.SOC.,A.A. 16-MEDIO RURAL,A.A. 17-MOVILIDAD,A.A. 18-CULTURA,A.A. 19-FOMENTO,Ayuntamientos,Diputaciones
Antonio Jesús Lara,7,7.1,Servicio BusBici,Consejería de Fomento Infraestructuras y Ordenación del Territorio,Dirección general de movilidad,2006,2019,SI,INS,SEVILLA,SEVILLA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,
Antonio Jesús Lara,7,7.10,Restauración de áreas incendiadas mediante tecnología LIDAR,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible","Dirección General de Medio Natural, Biodiversidad y Espacios Protegidos",2018,2019,NO,INS,ANDALUCÍA,ANDALUCÍA,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Antonio Jesús Lara,7,7.2,Red Profesional de la Junta de Andalucía,"Consejería de la Presidencia, Administración Pública e Interior",Instituto Andaluz de Administración Pública,2015,2017,SI,INS,ANDALUCÍA,ANDALUCÍA,,,,,,1,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,
Antonio Jesús Lara,7,7.3,Subsistema CLIMA,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible","Secretaría General de Medio Ambiente, Agua y Cambio Climático",1999,2019,SI,INS,ANDALUCÍA,ANDALUCÍA,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,
Antonio Jesús Lara,7,7.4,Utilización de drones en el seguimiento de especies amenazadas,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible",Agencia de Medio Ambiente y Agua,2018,2019,NO,INS,SEVILLA,ANDALUCÍA,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
Antonio Jesús Lara,7,7.5,Proyecto Integral para el apoyo a juventud emprendedora en el sector agrario.,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible",,2017,2020,NO,INS,ANDALUCÍA,ANDALUCÍA,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,1,,,,1,,,,1,
Antonio Jesús Lara,7,7.6,Programa Forma Joven,Consejería de Salud y Familias,,2001,ACTUALIDAD,SI,INS,ANDALUCÍA,ANDALUCÍA,1,,,1,,,,,,,,1,1,,,,,,,,,1,,,,,,1,,,,,,1,
Antonio Jesús Lara,7,7.7,IGUALARTE,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible",GDR Valle del Guadallhorce,2009,2015,SI,EM,MÁLAGA,MÁLAGA,1,,,,,,,,,,,1,1,,,,,,,,,1,,,,1,,,,1,,,,1,
Antonio Jesús Lara,7,7.8,Observatorio de la Infancia en Andalucía (OIA),"Consejería de Igualdad, Políticas Sociales y Conciliación",,2003,ACTUALIDAD,SI,INS,ANDALUCÍA,ANDALUCÍA,1,,,,,,,,1,1,,,1,,,,,,,,,1,,,,,1,1,,,,,,,
Antonio Jesús Lara,7,7.9,Mundo Rural en Femenino,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible",Dirección General de Desarrollo Sostenible del Medio Rural,2010,ACTUALIDAD,SI,INS,ANDALUCÍA,ANDALUCÍA,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,1,
