NOMBREs PARTICIPANTE,ID. Participante,CODIGO ficha,TÍTULO de la iniciativa,ENTIDAD promotora,PERSONAS de contacto (Datos),Año DESDE,AÑO HASTA,¿IMPLEMENTADA? (SI o NO),ORIGEN (EM o INST),PROVINCIA IMPULSORA,PROVINCIAS APLICACIÓN,T.I: 1-SERVICIOS,T.I. 2-PROCESOS,T.I. 3-GESTION PERSONAS,T.I. 4-PARTICIPACIÓN,T.I. 5-ORGANIZATIVA,T.I. 6-CAMBIO CULTURAL,T.I. 7-TECNOLÓGICA,T.I. 8-TRANSPARENCIA,T.I. 9-COLABORACIÓN,T.I. 10-GEST.CON,T.I. 11-BIENESTAR,T.I. 12-IGUALDAD GEN,T.I. 13-SENSIB.CUIDAD.,T.I. 14-NORMATIVO,A.A. 1-TURISMO,A.A. 2-JUSTICIA,A.A. 3-ADMON PUB.,A.A. 4-INTERIOR,A.A. 5-EMPLEO,A.A. 6-HACIENDA,A.A. 7-IND.ENERG,A.A. 8-EDUCACIÓN,A.A. 9-DEPORTE,A.A. 10-AGRIC-GAN-PESC,A.A. 11-M.AMBIENTE,A.A. 12-ECON.EMP.,A.A. 13-CON-UNIV,A.A. 14-SALUD,A.A. 15-POLIT.SOC.,A.A. 16-MEDIO RURAL,A.A. 17-MOVILIDAD,A.A. 18-CULTURA,A.A. 19-FOMENTO,Ayuntamientos,Diputaciones
Francisco Muñoz,12,12.1,TAU (Gestión Integral de departamentos de Informática),Consejería de Medio Ambiente - Delegación de Huelva,Francisco Javier Garrido Freire. Sv. de Informática. Consejería de Igualdad y Políticas Sociales; Eduardo Antón Santa-María; proyectotau@users.sourceforge.net; ProyectoTAU2@gmail.com,2006,Actualidad,SI,EM,Huelva,ANDALUCIA,,,X,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Francisco Muñoz,12,12.10,MINERVA,"Consejería de Empleo, Empresa y Comercio y Vodafone, ...",Directora: García Catalina; Coordinador de Proyectos: Salvador Romero; Responsable de comunicación: Carla García,2012,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Francisco Muñoz,12,12.11,ESTRATEGIA ANDALUZA DE BIOECONOMIA CIRCULAR,"Consejería de Agricultura, Pesca y Desarrollo Rural",desconocido,2016,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,X,,,,,
Francisco Muñoz,12,12.12,RED DE MUJERES RURALES Y URBANAS (RMRU),Consejería de Agricultura y Pesca,red.mujeres.rurales.urbanas@gmail.com,2011,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,X,,,,,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,
Francisco Muñoz,12,12.2,TALLER DE VEHICULOS OFICIALES MULTIDELEGACION (CORDOBA),D.T de Fomento y Vivienda en Córdoba,Manuel López Zamorano. Asesor Técnico Sv. Carreteras. D.T. Fomento y Vivienda en Córdoba.,2013,Actualidad,SI,EM,Córdoba,Córdoba,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Francisco Muñoz,12,12.3,WIKI DT Empleo y Enonomía de Málaga,Consejerías de Empleo y de Conocimiento,Francisco José Alcázar Martín (Jefe Dep. Informática),2006,Actualidad,SI,EM,Málaga,Málaga,,X,,,X,X,X,,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,
Francisco Muñoz,12,12.4,HERRAMIENTA VERIFICACION LINEAS DE COMUNICACION,Delegación de Medio Ambiente y Ordenación del Territorio de Málaga,Felipe Muñoz Brieva.,2018,Actualidad,SI,EM,Málaga,Málaga,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Francisco Muñoz,12,12.5,REPOSITORIO SOWTWARE LIBRE JUNTA DE ANDALUCIA,"Consejería de Innovación, Ciencia y Empresa",desconocido,2005,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Francisco Muñoz,12,12.6,POR UN MILLON DE PASOS (PUMP),Consejería de Salud,Rosario Rodríguez Martínez (porunmillondepasos.csalud@juntadeandalucia.es),2008,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,X,,,,,X,,,,X,,,,,,,,,,,,,,,X,,,,,,,
Francisco Muñoz,12,12.7,SAC (Servicio de Atención al Ciudadano),Consejería de Empleo y Desarrollo Tecnológico,Teléfono 955 063 910; email:  buzonweb.sac.ceec@juntadeandalucia.es,2004,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Francisco Muñoz,12,12.8,PiCuida,Servicio Andaluz de Salud,Serafín Fernández Salazar,2015,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Francisco Muñoz,12,12.9,BANCO DE PROYECTOS EMPRESARIALES PARA EMPRENDER,"Consejería de Empleo, Empresa (Andalucia Emprende)","Jorge Lozano, info@andaluciaemprende.es",2017,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
