NOMBREs PARTICIPANTE,ID. Participante,CODIGO ficha,TÍTULO de la iniciativa,ENTIDAD promotora,PERSONAS de contacto (Datos),Año DESDE,AÑO HASTA,¿IMPLEMENTADA? (SI o NO),ORIGEN (EM o INST),PROVINCIA IMPULSORA,PROVINCIAS APLICACIÓN,T.I: 1-SERVICIOS,T.I. 2-PROCESOS,T.I. 3-GESTION PERSONAS,T.I. 4-PARTICIPACIÓN,T.I. 5-ORGANIZATIVA,T.I. 6-CAMBIO CULTURAL,T.I. 7-TECNOLÓGICA,T.I. 8-TRANSPARENCIA,T.I. 9-COLABORACIÓN,T.I. 10-GEST.CON,T.I. 11-BIENESTAR,T.I. 12-IGUALDAD GEN,T.I. 13-SENSIB.CUIDAD.,T.I. 14-NORMATIVO,A.A. 1-TURISMO,A.A. 2-JUSTICIA,A.A. 3-ADMON PUB.,A.A. 4-INTERIOR,A.A. 5-EMPLEO,A.A. 6-HACIENDA,A.A. 7-IND.ENERG,A.A. 8-EDUCACIÓN,A.A. 9-DEPORTE,A.A. 10-AGRIC-GAN-PESC,A.A. 11-M.AMBIENTE,A.A. 12-ECON.EMP.,A.A. 13-CON-UNIV,A.A. 14-SALUD,A.A. 15-POLIT.SOC.,A.A. 16-MEDIO RURAL,A.A. 17-MOVILIDAD,A.A. 18-CULTURA,A.A. 19-FOMENTO,Ayuntamientos,Diputaciones
Pedro Blanco Wasmer,2,2.1,Observatorio de Prácticas Innovadoras en el Manejo de Enfermedades Crónicas Complejas (OPIMEC),Secretaría General de Salud Pública y Consumo de la Consejería de Salud de la Junta de Andalucía,Carmen Pérez Romero,2006,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,,,,,X,X,,,X,X,,,,,,,,,,,,,,,,,X,X,,,,,,,
Pedro Blanco Wasmer,2,2.2,Escuela de pacientes,Escuela Andaluza de Salud Pública (EASP) - Consejería de Salud y Familias de la Junta de Andalucía,escueladepacientes.sspa@juntadeandalucia.es,2008,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,X,,X,X,X,,,X,X,,,X,,,,,,,,,,,,,,,X,X,,,,,X,
Pedro Blanco Wasmer,2,2.3,Proyecto Genoma Médico,Consejería de Salud y Familias de la Junta de Andalucía,Javier Santoyo López,2009,Actualidad,SI,INST,ANDALUCIA,SEVILLA,X,,,,,,X,,,X,,,,,,,,,,,,,,,,,X,X,,,,,,,
Pedro Blanco Wasmer,2,2.4,@firma: La plataforma corporativa de autenticación y firma,"D.G. de Transformación Digital de la Consejería de Hacienda, Industria y Energía de la Junta de Andalucía","D.G. de Transformación Digital de la Consejería de Hacienda, Industria y Energía de la Junta de Andalucía",2003,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,X,,,X,,X,,,,,,,X,,,X,,,,,,,,,,,,,,,,,X,X
Pedro Blanco Wasmer,2,2.6,"Tarjeta +Cuidado, tarjeta de Identificación personal para el Plan de Atención a Personas Cuidadoras","PiCuida - Estrategia de Cuidados de Andalucía, Consejería de Salud y Familias de la Junta de Andalucía",https://www.picuida.es/ciudadania/contacto/,2007,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,X,X,,,,,,,X,X,,,,,,,,,,,,,,,X,X,,,,,,
Pedro Blanco Wasmer,2,2.7,Proyecto “Sobre Ruedas”,"Secretaría General de Salud Pública y Consumo de la Consejería de Salud (y Familias, actualmente) de la Junta de Andalucía","Secretaría General de Salud Pública y Consumo de la Consejería de Salud (y Familias, actualmente) de la Junta de Andalucía",2009,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,X,,,X,,X,,,,X,,,,,,,,,X,,,,,,X,,,X,,,X,
Marcos Borrero Gaviño,3,3.1,Mindfulness en la Administración,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible y DT de Empleo y Economía en Almería","Juana Cano (CAGPyDS), Luisa Muñoz Amate DT Empleo)",2016,Actualidad,SI,EM,"Almería, Sevilla","Almería, Sevilla y Málaga",,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
Marcos Borrero Gaviño,3,3.2,QskyMap: Mapa de oscuridad del cielo nocturno andaluz,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible","Sv. Calidad del Aire, Ángela Ranea",2015,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,1,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,
Marcos Borrero Gaviño,3,3.3,Índice espectral G,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible","Sv. Calidad del Aire, Ángela Ranea",2018,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,1,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,
Marcos Borrero Gaviño,3,3.4,Los viernes al sol,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible","Coordinación de la DG – Andrés Leal, Ángela Ranea",2015,Actualidad,SI,EM,Sevilla,Sevilla,,,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,
Marcos Borrero Gaviño,3,3.5,Andalucía Smart Data,Consejería de Turismo y Deporte,N/D,2017,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,1,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,1
Marcos Borrero Gaviño,3,3.6,Innovando en Jueves,Consejería de Salud y Familias,Sv. de Innovación e Igualdad -  Javier López Narbona – Conchi Castejón,2010,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,1,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,
Marcos Borrero Gaviño,3,3.7,Contigo Más,"Consejería de la Presidencia, Administración Pública e Interior – Delegación de Gobierno de la JA en Málaga",Oficina de Calidad de Servicios- Carmen Molero – Pedro García Conde,2017,Actualidad,SI,EM,Málaga,Málaga,,,1,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,
Marcos Borrero Gaviño,3,3.8,App Reto EPOC,"Consejería de Salud y Familias-Escuela Andaluza de Salud Pública-Consejería de Empleo, Formación y Trabajo Autónomo",Sv. de Innovación e Igualdad – Conchi Castejón,2016,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Irene Carrillo de Albornoz,5,5.1,Iniciativa Mentor,IAAP,Mar Herrera Menchen,2009,Actual,Si,INST,Andalucía,Andalucía,,,1,,,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,
Irene Carrillo de Albornoz,5,5.2,PRODIG,Consejería de Educación y Deporte,,2018,Actual,Si,INST,Andalucía,Andalucía,1,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Irene Carrillo de Albornoz,5,5.3,iPASEN,Consejería de Educación y Deporte,,2014,Actual,Si,INST,Andalucía,Andalucía,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Irene Carrillo de Albornoz,5,5.4,EXTENDA MARCA,EXTENDA,,2016,Actual,Si,INST,Andalucía,Andalucía,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Irene Carrillo de Albornoz,5,5.5,Laboratorios Infantiles en Terapias Avanzadas,Fundación Progreso y Salud,,2007,Actual,Si,EM,Andalucía,Andalucía,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
Irene Carrillo de Albornoz,5,5.6,DemoLab,Consejería de Turismo,Laura Gonzalez Garcia,2012,Actual,Si,EM,Málaga,Andalucía,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Antonio Jesús Lara,7,7.1,Servicio BusBici,Consejería de Fomento Infraestructuras y Ordenación del Territorio ,Dirección general de movilidad,2006,2019,SI,INS,SEVILLA,SEVILLA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,
Antonio Jesús Lara,7,7.10,Restauración de áreas incendiadas mediante tecnología LIDAR,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible","Dirección General de Medio Natural, Biodiversidad y Espacios Protegidos",2018,2019,NO,INS,ANDALUCÍA,ANDALUCÍA,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Antonio Jesús Lara,7,7.2,Red Profesional de la Junta de Andalucía,"Consejería de la Presidencia, Administración Pública e Interior",Instituto Andaluz de Administración Pública,2015,2017,SI,INS,ANDALUCÍA,ANDALUCÍA,,,,,,1,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,
Antonio Jesús Lara,7,7.3,Subsistema CLIMA,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible","Secretaría General de Medio Ambiente, Agua y Cambio Climático",1999,2019,SI,INS,ANDALUCÍA,ANDALUCÍA,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,
Antonio Jesús Lara,7,7.4,Utilización de drones en el seguimiento de especies amenazadas,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible",Agencia de Medio Ambiente y Agua,2018,2019,NO,INS,SEVILLA,ANDALUCÍA,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
Antonio Jesús Lara,7,7.5,Proyecto Integral para el apoyo a juventud emprendedora en el sector agrario.   ,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible",,2017,2020,NO,INS,ANDALUCÍA,ANDALUCÍA,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,1,,,,1,,,,1,
Antonio Jesús Lara,7,7.6,Programa Forma Joven,Consejería de Salud y Familias,,2001,ACTUALIDAD,SI,INS,ANDALUCÍA,ANDALUCÍA,1,,,1,,,,,,,,1,1,,,,,,,,,1,,,,,,1,,,,,,1,
Antonio Jesús Lara,7,7.7,IGUALARTE,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible",GDR Valle del Guadallhorce,2009,2015,SI,EM,MÁLAGA,MÁLAGA,1,,,,,,,,,,,1,1,,,,,,,,,1,,,,1,,,,1,,,,1,
Antonio Jesús Lara,7,7.8,Observatorio de la Infancia en Andalucía (OIA),"Consejería de Igualdad, Políticas Sociales y Conciliación",,2003,ACTUALIDAD,SI,INS,ANDALUCÍA,ANDALUCÍA,1,,,,,,,,1,1,,,1,,,,,,,,,1,,,,,1,1,,,,,,,
Antonio Jesús Lara,7,7.9,Mundo Rural en Femenino,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible",Dirección General de Desarrollo Sostenible del Medio Rural,2010,ACTUALIDAD,SI,INS,ANDALUCÍA,ANDALUCÍA,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,1,
EMILIO J. MANSO,9,9.1,ANDALUCIA OPEN FUTURE,"CONSEJERIA DE ECONOMIA, CONOCIMIENTO, EMPRESAS Y UNIVERSIDAD EN COLABORACIÓN CON TELEFÓNICA",ANDALUCIA@OPENFUTURE.ORG,2013,ACTUALIDAD,SI,INST,ANDALUCIA,ANDALUCIA,1,1,,1,1,,1,,1,1,,,,,,,,,1,,,,,,,1,1,,,,,,,,
EMILIO J. MANSO,9,9.2,SUD SOSTENIBLE (SISTEMAS URBANOS DE DRENAJE SOSTENIBLE),"CONSEJERIA AGRICULTURA, GANADERÍA, PESCA Y DESARROLLO SOSTENIBLE",ANA ABELLÁN,2016,ACTUALIDAD,SI,INST,ANDALUCIA,ANDALUCIA,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,
"EMILIO J. MANSO
",9,9.3,LIVING LAB SALUD ANDALUCIA,"CONSEJERIA DE INNOVACION, CIENCIA Y EMPRESA Y DE SALUD",JUAN LAGO (JUAN.LAGO@IAVANTE.ES) ,2008,,SI,INST,ANDALUCIA,ANDALUCIA,1,,,1,1,,1,,1,,,,,,,,,,1,,,,,,,1,1,1,,,,,,,
"EMILIO J. MANSO
",9,9.4,PROGRAMA ADE (ACELERADORA DE EMPRESAS 2020),CONSEJERIA DE ECONOMIA Y CONOCIMIENTO,CENTROS CADE (CENTRO ANDALUZ DE EMPRENDIMIENTO),2016,,SI,INST,MÁLAGA,ANDALUCIA,1,,,1,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,
"EMILIO J. MANSO
",9,9.5,PROGRAMA INNBIO-ADVANCE,CONSEJERIA DE SALUD EN COLABORACION CON LA FUNDACION PARA LA INVESTIGACION BIOSANITARIA DE ANDALUCIA ORIENTAL (FIBAO) Y LA PARTICIPACION ECONOMICA DE LA FUNDACION CAJA RURAL Y CAJA GRANADA FUNDACION,FIBAO Y EL INSTITUTO DE INVESTIGACION BIOMEDICA DE GRANADA (IBS GRANADA),2012,ACTUALIDAD,SI,INST,"JAEN, ALMERIA Y GRANADA","GRANADA, JAEN Y ALMERIA",1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,
"EMILIO J. MANSO
",9,9.6,PROGRAMA INNICIA CULTURA EMPRENDEDORA,CONSEJERIA DE EDUCACION Y DEPORTE,DIRECCION GENERAL DE INNOVACION Y FORMACION DEL PROFESORADO (955064195/4320/4191). GRUPO INNICIA (WHASTAPP 670942148). ANA BELEN GARCIA (ABGARCIA@ANDALUCIAEMPRENDE.ES). CULTURAEMPRENDEDORA.CED@JUNTADEANDALUCIA.ES,2016,ACTUALIDAD,SI,INST,ANDALUCIA,ANDALUCIA,1,1,1,1,1,1,,,1,1,,,,,,,,,1,,,1,,,,1,,,,,,1,,,
"EMILIO J. MANSO
",9,9.7,URBARURAL SOSTENIBLE,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE",ARA (ASOCIACION PARA EL DESARROLLO RURAL DE ANDALUCIA),2010,,SI,INST,ANDALUCIA,ANDALUCIA,,,,1,1,,1,,1,,,1,,,,,,,1,,,,,1,1,1,,,,1,,,1,1,
"EMILIO J. MANSO
",9,9.9,ANDALUCIA LAB,"CONSEJERIA DE TURISMO, REGENERACIÓN, JUSTICIA Y ADMINISTRACION LOCAL","
",2015 (AUNQUE PUEDE QUE ANTES),ACTUALIDAD,SI,INST,ANDALUCIA,ANDALUCIA,,,,1,,,1,,1,,,,,,1,,,,1,,,,,,,1,,,,,,,,,
RAFAEL ZAFRA,10,10.01,APRENDE A CRECER CON SEGURIDAD,CPRL JAEN,MANUEL SORIANO SERRANO,1994,ACTUALIDAD,SI,EM,JAEN,ANDALUCIA,,,,,,,,,,1,,,1,,,,,,1,,,1,,,,,,,,,,,,,
RAFAEL ZAFRA,10,10.02,ELECTRIFICACIÓN RURAL AISLADA,CONSEJERIA OBRAS PUBLICAS Y TRANSPORTES,DIRECCIÓN GENERAL ARQUITECTURA Y VIVIENDA,187,,SI,INST,ANDALUCIA,ANDALUCIA,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,1,
RAFAEL ZAFRA,10,10.03,BONIFICACIÓN DEL 99% DE CADA CRÉDITO APROBADO EN PRIMERA MATRICULA,"CONSEJERIA DE ECONOMIA, CONOCIMIENTO, EMPRESAS Y UNIVERSIDAD",,2017,ACTUALIDAD,SI,INST,ANDALUCIA,ANDALUCIA,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
RAFAEL ZAFRA,10,10.04,REHABILITACION AUTONOMICA PREFERENTE DE VIVIENDAS,CONSEJERIA DE OBRAS PÚBLICAS Y TRANSPORTES,DIRECCIÓN GENERAL ARQUITECTURA Y VIVIENDA,1985,2009,SI,INST,ANDALUCIA,ANDALUCIA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
RAFAEL ZAFRA,10,10.05,ALERTA ACCIDENTES,"CONSEJERIA DE EMPLEO, FORMACIÓN Y TRABAJO AUTÓNOMO",SEGURIDAD Y SALUD LABORAL,2017,ACTUALIDAD,SI,EM,ANDALUCIA,ANDALUCIA,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
RAFAEL ZAFRA,10,10.06,PUDO HABERSE EVITADO,"CONSEJERIA DE EMPLEO, FORMACIÓN Y TRABAJO AUTÓNOMO",LUIS PIÑERO PIOLESTAN,2011,ACTUALIDAD,SI,INST,ANDALUCIA,ANDALUCIA,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
